stat_name,home_value,away_value,category,tip_id,home_possession,home_advantage,away_possession,away_advantage,match_id
Open Play Pass %,84,82,passing,,,,,,atlvsdc-10-18-2025
Set Piece Cross %,28.6,0,passing,,,,,,atlvsdc-10-18-2025
Open Play Cross %,9.1,14.3,passing,,,,,,atlvsdc-10-18-2025
,,,possession,bar_0,Home Possession: 52.71%,Home Advantage: 5.42%,Away Possession: 47.29%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_1,Home Possession: 60.28%,Home Advantage: 20.56%,Away Possession: 39.72%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_2,Home Possession: 39.85%,Home Advantage: N/A,Away Possession: 60.15%,Away Advantage: 20.3%,atlvsdc-10-18-2025
,,,possession,bar_3,Home Possession: 46.82%,Home Advantage: N/A,Away Possession: 53.18%,Away Advantage: 6.36%,atlvsdc-10-18-2025
,,,possession,bar_4,Home Possession: 51.36%,Home Advantage: 2.72%,Away Possession: 48.64%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_5,Home Possession: 44.47%,Home Advantage: N/A,Away Possession: 55.53%,Away Advantage: 11.06%,atlvsdc-10-18-2025
,,,possession,bar_6,Home Possession: 56.28%,Home Advantage: 12.56%,Away Possession: 43.72%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_7,Home Possession: 37.31%,Home Advantage: N/A,Away Possession: 62.69%,Away Advantage: 25.38%,atlvsdc-10-18-2025
,,,possession,bar_8,Home Possession: 40.85%,Home Advantage: N/A,Away Possession: 59.15%,Away Advantage: 18.3%,atlvsdc-10-18-2025
,,,possession,bar_2_0,Home Possession: 38.06%,Home Advantage: N/A,Away Possession: 61.94%,Away Advantage: 23.88%,atlvsdc-10-18-2025
,,,possession,bar_2_1,Home Possession: 67.88%,Home Advantage: 35.76%,Away Possession: 32.12%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_2_2,Home Possession: 45.47%,Home Advantage: N/A,Away Possession: 54.53%,Away Advantage: 9.06%,atlvsdc-10-18-2025
,,,possession,bar_2_3,Home Possession: 50.47%,Home Advantage: 0.94%,Away Possession: 49.53%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_2_4,Home Possession: 75.63%,Home Advantage: 51.26%,Away Possession: 24.37%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_2_5,Home Possession: 36.22%,Home Advantage: N/A,Away Possession: 63.78%,Away Advantage: 27.56%,atlvsdc-10-18-2025
,,,possession,bar_2_6,Home Possession: 59.51%,Home Advantage: 19.02%,Away Possession: 40.49%,Away Advantage: N/A,atlvsdc-10-18-2025
,,,possession,bar_2_7,Home Possession: 36.36%,Home Advantage: N/A,Away Possession: 63.64%,Away Advantage: 27.28%,atlvsdc-10-18-2025
,,,possession,bar_2_8,Home Possession: 52.79%,Home Advantage: 5.58%,Away Possession: 47.21%,Away Advantage: N/A,atlvsdc-10-18-2025
Total Team XG,1.7,1,xg,,,,,,atlvsdc-10-18-2025
Shots,14,10,xg,,,,,,atlvsdc-10-18-2025
Shots On Target,7,4,xg,,,,,,atlvsdc-10-18-2025
Possession %,64.2,35.8,general,,,,,,vanvsdal-10-18-2025
Shots,18,11,general,,,,,,vanvsdal-10-18-2025
Shots on Goal,7,7,general,,,,,,vanvsdal-10-18-2025
Blocked Shots,6,2,general,,,,,,vanvsdal-10-18-2025
Total Passes,609,294,general,,,,,,vanvsdal-10-18-2025
Passing Accuracy %,87.8,72.8,general,,,,,,vanvsdal-10-18-2025
Corners,8,6,general,,,,,,vanvsdal-10-18-2025
Total Crosses,11,3,general,,,,,,vanvsdal-10-18-2025
Offsides,0,1,general,,,,,,vanvsdal-10-18-2025
Aerial Duels Won,17,10,general,,,,,,vanvsdal-10-18-2025
Expected Goals,1.9,1.4,general,,,,,,vanvsdal-10-18-2025
Goalkeeper Saves,5,6,general,,,,,,vanvsdal-10-18-2025
Clearances,5,15,general,,,,,,vanvsdal-10-18-2025
Fouls,11,17,general,,,,,,vanvsdal-10-18-2025
Yellow Cards,1,4,general,,,,,,vanvsdal-10-18-2025
Red Cards,1,0,general,,,,,,vanvsdal-10-18-2025
Overall %,87.8,72.8,general,,,,,,vanvsdal-10-18-2025
Open Play Pass %,87.9,73.8,general,,,,,,vanvsdal-10-18-2025
Set Piece Cross %,22.2,33.3,general,,,,,,vanvsdal-10-18-2025
Open Play Cross %,45.5,66.7,general,,,,,,vanvsdal-10-18-2025
Goals,1,2,general,,,,,,vanvsdal-10-18-2025
On Target,7,7,general,,,,,,vanvsdal-10-18-2025
Off Target,17,9,general,,,,,,vanvsdal-10-18-2025
Blocked,6,2,general,,,,,,vanvsdal-10-18-2025
Goals Conceded,2,1,general,,,,,,vanvsdal-10-18-2025
Shots Against,18,11,general,,,,,,vanvsdal-10-18-2025
Clean Sheets,0,0,general,,,,,,vanvsdal-10-18-2025
XG Conceded,1.4,1.9,general,,,,,,vanvsdal-10-18-2025
Interceptions,1,3,general,,,,,,vanvsdal-10-18-2025
Goals,1,2,shooting,,,,,,vanvsdal-10-18-2025
On Target,7,7,shooting,,,,,,vanvsdal-10-18-2025
Off Target,2,2,shooting,,,,,,vanvsdal-10-18-2025
Blocked,6,2,shooting,,,,,,vanvsdal-10-18-2025
Overall %,87.8,72.8,passing,,,,,,vanvsdal-10-18-2025
Open Play Pass %,87.9,73.8,passing,,,,,,vanvsdal-10-18-2025
Set Piece Cross %,22.2,33.3,passing,,,,,,vanvsdal-10-18-2025
Open Play Cross %,45.5,66.7,passing,,,,,,vanvsdal-10-18-2025
