event_id,match_id,minute,title,comment,out_player,in_player
410,04a4ef01,52',Corner,Goal! 2:0. Joseph Paintsil (LA Galaxy) scored with right footed shot from the center of the box with an xG of 82% to the bottom left corner.,,
411,04a4ef01,61',Foul,Nectarios Triantis (Minnesota United FC) is shown the yellow card for the foul.,,
412,04a4ef01,,,,W. Trapp,O. Gene
413,04a4ef01,,,,N. Triantis,H. Dotson
414,04a4ef01,67',Foul,Edwin Cerrillo (LA Galaxy) is shown the yellow card for the foul.,,
415,04a4ef01,68',Attempt Missed,Attempt missed. Anthony Markanich's (Minnesota United FC) with left footed shot from the center of the box with an xG of 10% goes over to the left.,,
416,04a4ef01,69',Attempt Saved,Attempt saved. Joaquín Pereyra's (Minnesota United FC) with left footed shot from the left side of the box with an xG of 3% is saved by Novak Micovic.,,
417,04a4ef01,70',Attempt Saved,Attempt blocked. Joseph Rosales's (Minnesota United FC) with right footed shot from the right side of the box with an xG of 8% is blocked by Maya Yoshida.,,
418,04a4ef01,73',Attempt Missed,Attempt missed. Anthony Markanich's (Minnesota United FC) with left footed shot from the center of the box with an xG of 14% misses to the right.,,
419,04a4ef01,,,,M. Nascimento,M. Yamane
420,04a4ef01,,,,R. Lod,D. Fitz
421,04a4ef01,,,,J. Diaz,K. Yeboah
422,04a4ef01,79',Foul,Nicolás Romero (Minnesota United FC) is shown the yellow card for the foul.,,
423,04a4ef01,,,,M. Cuevas,E. Zavaleta
424,04a4ef01,,,,E. Wynder,M. Berry
425,04a4ef01,83',Attempt Saved,Attempt saved. Joaquín Pereyra's (Minnesota United FC) with left footed shot from the center of the box with an xG of 8% is saved by Novak Micovic.,,
426,04a4ef01,83',Attempt Saved,Attempt blocked. Joaquín Pereyra's (Minnesota United FC) with left footed shot from the right side of the box with an xG of 4% is blocked by Emiro Garces.,,
427,04a4ef01,,,,J. Paintsil,T. Lepley
428,04a4ef01,90'+5,Corner,Goal! 2:1. Joaquín Pereyra (Minnesota United FC) scored from corner kick with left footed shot from the right wing with an xG of 4% to the bottom right corner.,,
429,04a4ef01,90'+7,Foul,Edwin Cerrillo (LA Galaxy) is shown the second yellow (red) card for the foul.,,
430,04a4ef01,90'+7,Attempt Missed,Attempt missed. Nicolás Romero's (Minnesota United FC) with left footed shot from the center of the box with an xG of 3% misses to the left.,,
431,4f298de1,1',Attempt Missed,Bruno Damiani (Philadelphia Union) with right footed shot from the center of the box with an xG of 11%.,,
432,4f298de1,1',Attempt Missed,Attempt missed. Alejandro Bedoya's (Philadelphia Union) with left footed shot from the center of the box with an xG of 10% goes over to the left.,,
433,4f298de1,2',Attempt Saved,Attempt blocked. Mikael Uhre's (Philadelphia Union) with left footed shot from the right half-space outside the box with an xG of 2% is blocked by Djibril Diani.,,
434,4f298de1,3',Attempt Missed,Attempt missed. Brandt Bronico's (Charlotte FC) with right footed shot from the center of the box with an xG of 19% misses to the right.,,
435,4f298de1,13',Attempt Missed,Attempt missed. Kerwin Vargas's (Charlotte FC) with left footed shot from the right side of the box with an xG of 7% misses to the left.,,
436,4f298de1,24',Attempt Missed,Nathan Harriel (Philadelphia Union) with right footed shot from the right half-space outside the box with an xG of 3%.,,
437,4f298de1,24',Attempt Missed,Attempt missed. Alejandro Bedoya's (Philadelphia Union) with left footed shot from the center of the box with an xG of 21% misses to the right.,,
438,4f298de1,24',GOAL,"Goal! 1:0. Wilfried Zaha (Charlotte FC) scored with right footed shot from the center of the box with an xG of 28% to the lower right zone. Assisted by Kerwin Vargas, second assist by Adilson Malanda.",,
439,4f298de1,27',Attempt Saved,Attempt saved. Alejandro Bedoya's (Philadelphia Union) with right footed shot from the center of the box with an xG of 10% is saved by Kristijan Kahlina.,,
440,4f298de1,30',GOAL,Goal! 2:0. Kerwin Vargas (Charlotte FC) scored with right footed shot from the right side of the box with an xG of 8% to the middle left zone. Assisted by Harry Toffolo.,,
441,4f298de1,32',Yellow Card,Danley Jean Jacques (Philadelphia Union) is shown the yellow card for poor sportsmanship.,,
442,4f298de1,32',Yellow Card,Wilfried Zaha (Charlotte FC) is shown the yellow card for poor sportsmanship.,,
443,4f298de1,34',Attempt Saved,Attempt saved. Bruno Damiani's (Philadelphia Union) with header from the center of the box with an xG of 11% is saved by Kristijan Kahlina.,,
